,,Actual,Predicted
Train,0,100.00000000000003,0.12482682
Train,1,102.39999999999998,0.06554216
Train,2,104.89999999999999,0.14755687
Train,3,92.29999999999998,0.031536512
Train,4,102.39999999999998,0.10870341
Train,5,100.89999999999999,0.029179875
Train,6,108.60000000000002,0.1026997
Train,7,100.79999999999995,0.05133948
Train,8,102.99000000000004,-0.027067892
Train,9,73.00000000000003,0.25867724
Train,10,88.80000000000001,0.06286787
Train,11,85.50000000000003,0.065922454
Train,12,102.29999999999998,0.034331113
Train,13,78.0,0.061474655
Train,14,95.37114285714289,0.019162945
Train,15,103.89999999999998,0.14508328
Train,16,80.30000000000003,0.064556256
Train,17,92.96999999999997,-0.025260797
Train,18,95.37114285714289,0.019162945
Train,19,82.19999999999999,0.065990865
Train,20,76.78999999999999,-0.0683973
Train,21,100.99999999999996,0.15763797
Train,22,101.39,-0.056117464
Train,23,99.90000000000002,0.05226318
Train,24,102.89999999999998,0.16943526
Train,25,102.7,0.09877934
Train,26,108.30000000000001,0.122375585
Train,27,92.29999999999998,0.015438598
Train,28,102.7,0.03166982
Train,29,94.26000000000005,-0.002101444
Train,30,95.37114285714289,0.019162945
Test,33,95.12000000000005,-0.024212
Test,36,95.37114285714289,0.019162945
Test,4,81.20000000000003,0.074790634
Test,13,101.30000000000003,0.048653707
Test,30,97.08999999999999,-0.047499646
Test,26,82.30000000000001,0.034057077
Test,6,90.20000000000002,0.0566507
Test,27,106.27999999999996,0.01890731
